 typeid |                            typename                            | typeclass |    size    | published | marketgroup | groupid | raceid 
--------+----------------------------------------------------------------+-----------+------------+-----------+-------------+---------+--------
  32101 | Low-grade Grail Alpha                                          |           |          1 |         1 |         618 |     300 |       
  31604 | Small Hydraulic Bay Thrusters II                               |           |       0.01 |         1 |        1231 |     779 |       
  32102 | Low-grade Grail Beta                                           |           |          1 |         1 |         619 |     300 |       
  21839 | Training Complex Passkey                                       |           |        1.1 |           |             |         |       
  12468 | Sansha Ship Log 187342874                                      |           |        1.1 |           |             |         |       
  19660 | Snowball Launcher                                              |           |        1.1 |           |             |         |       
  19658 | Snowball MMV                                                   |           |        1.1 |           |             |         |       
  17930 | Worm                                                           |           |        1.1 |           |             |         |       
   3451 | Fuel Conservation                                              |           |       0.01 |         1 |         374 |     275 |       
   3452 | Acceleration Control                                           |           |       0.01 |         1 |         374 |     275 |       
   3453 | Evasive Maneuvering                                            |           |       0.01 |         1 |         374 |     275 |       
   3454 | High Speed Maneuvering                                         |           |       0.01 |         1 |         374 |     275 |       
   3455 | Warp Drive Operation                                           |           |       0.01 |         1 |         374 |     275 |       
   3456 | Jump Drive Operation                                           |           |       0.01 |         1 |         374 |     275 |       
  12102 | Large Energy Transfer Array II                                 |           |          5 |         1 |         697 |      67 |       
  12104 | Improved Cloaking Device II Blueprint                          |           |       0.01 |         1 |         430 |     401 |       
  12105 | Covert Ops Cloaking Device II Blueprint                        |           |       0.01 |         1 |         430 |     401 |       
  12108 | Deep Core Mining Laser I                                       |           |          5 |         1 |        1039 |      54 |       
  12109 | Deep Core Mining Laser I Blueprint                             |           |       0.01 |         1 |         338 |     134 |       
  12110 | Homeless                                                       |           |          3 |         1 |          23 |     283 |       
  20228 | Incremental Gravimetric ECCM Scanning Array I                  |           |          5 |         1 |         725 |     202 |       
  31616 | Medium Rocket Fuel Cache Partition II                          |           |       0.01 |         1 |        1232 |     779 |       
  31736 | Medium Anti-Explosive Screen Reinforcer II                     |           |       0.01 |         1 |        1235 |     774 |       
